rank,handle,x_url,name,followers,avg_engagement,videos_seen,tools,bio,sample_post,sample_url,dm_sent,replied,joined
16,@jacobrodri_,https://x.com/jacobrodri_,Jacob Rodri,36184,1541,1,n8n,"founder https://t.co/JVdPBQHcqJ - find winning apps, replicate what's working. tweets about growth and my learnings🫡",Arcads just raised $16 million to build the most powerful AI ads engine in the world I can generate 100+ days of Tiktok content to promote any app with this n8n workflow → 1000+ AI UGC actors → takes 30 seconds → all automated Com,https://x.com/jacobrodri_/status/2001315344086859926,,,
17,@hrswatigupta,https://x.com/hrswatigupta,Swati Gupta,35708,119,3,claude code,"I help you grow online using AI, marketing & personal branding Daily action | Resume Writer | DM for Collab : swatigupta4190@gmail.com",A GOOGLE CLOUD ENGINEER JUST BUILT A FULL APP WITH CLAUDE IN 26 MINUTES. What most teams spend weeks building... He built live on stage. No team. No complicated setup. Just Claude and a goal. I've seen $500 vibe-coding courses tha,https://x.com/hrswatigupta/status/2087887847768695001,,,
18,@iamgdsa,https://x.com/iamgdsa,Guillaume,33571,226,1,lovable,writing daily @wesocialgrowth tracking+analytics: https://t.co/2CJ6jIRSKY creatornets: https://t.co/MQpfhTH1VW + 4 apps + @viraltoktracker @appstoretracker w @jean__gatt ⬇️,strange yet interesting new format from Lovable starts by screen recording snap camera then swap screen to app you get the react + the smooth transition to mobile demo only one video at 150k but finding this quite creative let's s,https://x.com/iamgdsa/status/2036118255023378801,,,
19,@jasonzhou1993,https://x.com/jasonzhou1993,Jason Zhou,33020,308,1,,Builder. I run my companies on agent loops Founder @SuperDesignDev @treg_ai and @aibuilderclub_,Quick GPT4V + TTS demo to automatically generate product walk through voice over video from screen recording. Github link: https://t.co/4Bu78GuAJl https://t.co/EpI4SYIfrT,https://x.com/jasonzhou1993/status/1721895326221828130,,,
20,@alexgoughcooper,https://x.com/alexgoughcooper,Alex Cooper,32347,857,1,claude code codex,Building things with AI. Tweets about AI & advertising. Co-Founder @ @heyparkerdotai and https://t.co/Iq2NylgSwZ,"Today I'm launching the most complete course on Claude Code and Codex for anyone who makes Facebook ads. For FREE. Claude Code has changed the way I make ads. In this live course, I’m sharing everything. Every skill, every agent, ",https://x.com/alexgoughcooper/status/2087597411954737453,,,
21,@VibeMarketer_,https://x.com/VibeMarketer_,J.B.,31294,580,1,bolt n8n,"ai systems for content, media, and growth",Most people building in n8n are sitting on way more potential than they realize. You don’t need another backend workflow. You need a front-end that makes it usable. This week I built a micro-app in Bolt that does exactly that. Dro,https://x.com/VibeMarketer_/status/1932853656426086664,,,
22,@daniel_mac8,https://x.com/daniel_mac8,Dan McAteer,28701,288,1,claude code codex,I build AI agents for a living and write about what they're doing to our minds. Essays weekly at https://t.co/ROXTvUfk75 · Agentic Ops @ AnswerRocket,'grok-plugin': Use Grok 4.6 in Claude Code &amp; Codex. Grok 4.6 is the real deal. Used it for the past 24hrs. &gt; Smart &gt; Fast &gt; Efficient You can use it with your X Premium or SuperGrok account through OAuth. But I have a,https://x.com/daniel_mac8/status/2088018732761117072,,,
23,@om_patel5,https://x.com/om_patel5,Om Patel,26852,1910,6,claude code,🇨🇦 growing https://t.co/Tr6rRuOdX9 ($10k/m) + https://t.co/K8xdwRDHqX building cool stuff,"this guy 3D printed and vibe coded a tiny Claude robot for his desk it's called ""Clawd Mochi."" runs on an ESP32 chip with a tiny display that shows animated expressions. &gt; hosts its own WiFi hotspot. zero cloud and zero interne",https://x.com/om_patel5/status/2037776537341051300,,,
24,@GuptaSayujya,https://x.com/GuptaSayujya,Sayujya Gupta,25071,172,1,claude code,Obsessed about AI | Building and Scaling SaaS for fun,"Yesterday, I got my first SaaS sale for $300 I built the entire thing for $0 using Claude Code People are paying $200/month for the same thing while I ship stuff for Free and make money. Made a YouTube video showing my setup Comme",https://x.com/GuptaSayujya/status/2050196195050434835,,,
25,@ericciarla,https://x.com/ericciarla,Eric Ciarla (hiring),17206,142,1,supabase,Co-Founder @ Firecrawl (YC S22). Previously Mendable.,Here is a quick demo of BabyAGIJS’s execution agent executing tasks with increased context. Using @supabase + @langchain https://t.co/sy6j8ZVsxA,https://x.com/ericciarla/status/1650952120537866241,,,
26,@chhddavid,https://x.com/chhddavid,David Ch,15037,630,2,,"building @shipper_now 🚢 i collect saas companies. all w/@chddaniel, my brother and co-founder","day 185 of building in public MRR: $7.2k Goal: $10k since day 1 people have been asking if we offer any free way of testing shipper: free plan, free demo, free trial, anything like that - months ago we've introduced the free demo ",https://x.com/chhddavid/status/2017932062460617145,,,
27,@undefinedKi,https://x.com/undefinedKi,Yarchi,13322,4080,2,claude code,AI & tech researcher | Building cool stuff | Sharing everything I learn,ANTHROPIC JUST QUIETLY SHIPPED A FEATURE THAT LETS CLAUDE SPAWN A WHOLE TEAM OF AGENTS THAT MESSAGE EACH OTHER AND REVIEW EACH OTHER'S WORK. It's a Claude Code feature called agent teams. The team lead spawns multiple agents that ,https://x.com/undefinedKi/status/2066504594755031343,,,
28,@TechWith_Nova,https://x.com/TechWith_Nova,NOVA,11555,394,3,antigravity claude code replit,AI Video • Tech Tools • Future Media Exploring how AI is reshaping creativity and digital skills . DM for Collaboration,"This Google Maps Lead Gen Agent is absolutely insane 🤯 Enter a keyword, city, &amp; state → get back names, phone numbers, emails, websites, &amp; reviews. All inside Google Antigravity + Claude Code. Perfect for agencies and lead",https://x.com/TechWith_Nova/status/2033356678713000229,,,
29,@MervinPraison,https://x.com/MervinPraison,Mervin Praison,11339,1782,1,replit,AI https://t.co/REymen9ODd,Just created Grok 3 AI Customer Support Agents 🔥 🤖 Grok 3 reads docs &amp; builds the agent @elonmusk 🔍 DeepSearch for In-depth search ⚡ Flask web app + API setup 🚀 Browser-based deploy - @Replit @amasad ✨ Zero manual coding neede,https://x.com/MervinPraison/status/1893747809741840387,,,
30,@polash_ai,https://x.com/polash_ai,Polash Khan,10616,171,1,claude code replit,Helping busy Founders & CEOs build Personal Brands on Linkedin & Twitter | AI Enthusiast | DM for Collaborations 📩,"I rebuilt my viral TikTok AI agent with Claude Code in 37 minutes 🤯 A full research-to-brief pipeline that scrapes TikTok, analyzes videos with AI, and generates creative briefs for your clients. All inside Claude Code + Replit. P",https://x.com/polash_ai/status/2028452211005813124,,,
31,@NabilMinhaz,https://x.com/NabilMinhaz,Nabil Abdullah,10382,224,1,antigravity claude code,"AI Educator | Teaching you how to earn smarter with AI, automation & digital skills | 📩 DM Open for collaboration","This Google Maps Lead Gen Agent is absolutely insane 🤯 Enter a keyword, city, &amp; state → get back names, phone numbers, emails, websites, &amp; reviews. All inside Google Antigravity + Claude Code. Perfect for agencies and lead",https://x.com/NabilMinhaz/status/2030463576918704346,,,
32,@Tanju_mim,https://x.com/Tanju_mim,Tanjina Islam,10121,253,1,antigravity claude code,Sharing effective ways to grow your business using tech and AI. Also Running AI Influencers Community. DM for paid collaboration. 📩: tanjinamim1011@gmail.com,"This Google Maps Lead Gen Agent is absolutely insane 🤯 Enter a keyword, city, &amp; state → get back names, phone numbers, emails, websites, &amp; reviews. All inside Google Antigravity + Claude Code. Perfect for agencies and lead",https://x.com/Tanju_mim/status/2034150532324200735,,,
33,@TheWalid,https://x.com/TheWalid,walid (nyc for summer),9694,58,2,figma replit,ceo @ breadwinners club | helping consumer apps with tech UGC and paid ads | campaigns include @perplexity_ai @kalshi @partiful @figma,"karosaves built an app for everyone who saves food tiktoks and forgets them forever video stats: • 1.5M views • 146K likes • 1600 comments begging for the app selfie video starts with her smiling ""omg guys i'm building an app that",https://x.com/TheWalid/status/1998029884178985469,,,
34,@brdrck,https://x.com/brdrck,Jeff Broderick,9159,181,1,figma,Building @OpacityHQ. @figma wizard & plugin tinkerer. DMs Open. Mastodon: https://t.co/0MwCXrTGH0,"Here is a quick demo of me grabbing perfect vectors from an Ortho animation. This is all being live rendered at 120fps, including the shader effects! https://t.co/HKm7Ic1vgz https://t.co/RzaGpXRZh1",https://x.com/brdrck/status/2021054040122261860,,,
35,@this_is_tasnim,https://x.com/this_is_tasnim,Maliha Tasnim,8678,127,1,claude code replit,AI Entrepreneur | Helping businesses grow with AI & tech | Ghostwriter for founders | DM for collabs 📩 malihatasnim956@gmail.com,"I rebuilt my viral TikTok AI agent with Claude Code in 37 minutes 🤯 A full research-to-brief pipeline that scrapes TikTok, analyzes videos with AI, and generates creative briefs for your clients. All inside Claude Code + Replit. P",https://x.com/this_is_tasnim/status/2033796721252438127,,,
36,@sakhil_ai,https://x.com/sakhil_ai,Sakhil Khan,8012,140,1,claude code replit,"AI Educator | Teaching you how to earn smarter with AI, automation & digital skills | 📩 DM Open for collaboration","I rebuilt my viral TikTok AI agent with Claude Code in 37 minutes 🤯 A full research-to-brief pipeline that scrapes TikTok, analyzes videos with AI, and generates creative briefs for your clients. All inside Claude Code + Replit. P",https://x.com/sakhil_ai/status/2032859943016214764,,,
37,@seelffff,https://x.com/seelffff,self.dll,7597,826,2,claude code copilot cursor windsurf,AI/ML engineer DM is open/long-term cooperation,"someone just open-sourced an entire AI company. 147 agents. 12 departments. engineering, design, marketing, sales, finance, QA, support. each agent has a role, a workflow, deliverables. not a chatbot. a team. claude code, cursor, ",https://x.com/seelffff/status/2049776832451408288,,,
38,@dhruvalgolakiya,https://x.com/dhruvalgolakiya,Dhruval,6950,380,2,bolt claude code supabase,Founder https://t.co/wiF7Ha4weT A Product Design and Development studio for founders side project - https://t.co/E1gXzZt0q7,"I just tested this new bolt feature, with 1 line prompt and selected pre built design system and it just built this with same design sytems and style across whole page. wow - even generate images for each section it self https://t",https://x.com/dhruvalgolakiya/status/2039046295927857633,,,
39,@aniketapanjwani,https://x.com/aniketapanjwani,Aniket Panjwani,6589,63,2,codex,I teach agentic coding to economists || PhD Economics Northwestern || ~9k on YouTube,"The Codex desktop app recently shipped ""More Details"". You highlight some text in the chat window, a UI shows up with ""Add to chat"", ""More details"", and ""Ask in side chat"". If you choose ""More details"", you get a detailed explanat",https://x.com/aniketapanjwani/status/2089489110495088729,,,
40,@prachiruns,https://x.com/prachiruns,Prachi Sethi,6084,81,2,,Design partner for deep-tech and consumer hardware teams. Co-founder https://t.co/1LBEsr68pc Running everyday since Jun '21,"Filmed a walkthrough of our recent project for @Breethr_HQ. Product demo-like. Thought process, micro-interactions, and continuation. https://t.co/SJfoqeRkkB",https://x.com/prachiruns/status/2051687601304973464,,,
41,@jamesdevonport,https://x.com/jamesdevonport,James Devonport,5325,121,1,claude code,"Building things with AI ✨ Founder @UserLoopHQ, Co-founder @CreateWithHQ Conference, Write a newsletter on with AI: https://t.co/6oLs38sj30","Quick demo of the Claude Code system I built to generate hundreds of Meta ad creatives with Nano Banana, upload them to Meta automatically, and manage performance from one place. No need to log into Ads Manager at all 🙏 everything",https://x.com/jamesdevonport/status/2029913789215170798,,,
42,@dorukkavcioglu,https://x.com/dorukkavcioglu,Doruk,4866,91,1,claude code figma,"co-founder, design @diffusionhq","made this with text to lottie and claude code my workflow: design something in figma or just make a rough draft. then ask claude to animate it you'd be surprised how easy it is to add easings, masks, transforms, text effects and a",https://x.com/dorukkavcioglu/status/2064672041526026608,,,
43,@EstebanSuarez,https://x.com/EstebanSuarez,Esteban Suárez,4610,481,1,v0 vercel,developer relations at @vercel,"This is a real Shopify store. A storefront you play like a game: walk around, step into shops, and buy real products with others shopping right next to you. Built this with @v0 using the new native Shopify integration. Fork the te",https://x.com/EstebanSuarez/status/2065541491355717761,,,
44,@ashiqur_ai,https://x.com/ashiqur_ai,Shanto,4429,253,1,antigravity claude code,Learn Al Today and Future proof yourself. I help you to 10x Your Business with Al.,"This Google Maps Lead Gen Agent is absolutely insane 🤯 Enter a keyword, city, &amp; state → get back names, phone numbers, emails, websites, &amp; reviews. All inside Google Antigravity + Claude Code. Perfect for agencies and lead",https://x.com/ashiqur_ai/status/2030857157684686999,,,
45,@techxsarfraj,https://x.com/techxsarfraj,Abdul Sarfraj,4410,329,1,claude code replit,AI-Powered Growth | Digital Creativity Future of Media & Skills Helping businesses scale with AI. HIGGS-G55OP,"I rebuilt my viral TikTok AI agent with Claude Code in 37 minutes 🤯 A full research-to-brief pipeline that scrapes TikTok, analyzes videos with AI, and generates creative briefs for your clients. All inside Claude Code + Replit. P",https://x.com/techxsarfraj/status/2035924899584487453,,,
46,@jiayun_studio,https://x.com/jiayun_studio,Jia,2466,13,1,cursor figma,Building apps in public & sharing tips about UX and growth. Design partner for B2B/B2C https://t.co/COdEeaHLHe,"Day 10 of building apps to $1k MRR Built this with Cursor and Figma MCP, running it on Expo. I chose to build this as my 1st app since I’ve always wanted a neat way to document my food without all the calorie counter stuff. What a",https://x.com/jiayun_studio/status/2010177976223367387,,,
47,@adi808080,https://x.com/adi808080,Aditya Saxena,1926,92,2,,"Founder, CalStudio","ChatPilot v1 demo is finally here ✨ It's a chatgpt for your website with ""actions"" 📪 - Connect your site's knowledge base to the bot using @langchain 🔗 and @pinecone - Hook up your APIs with @OpenAI's function calling dm for acces",https://x.com/adi808080/status/1698772123819373040,,,
48,@nikhilsbuilds,https://x.com/nikhilsbuilds,Nikhil,1295,20,1,v0,Engineer | Learning and Building in Public. Vibing in Communities && Mountains | Team @gdg_nd | @v0 && @warpdotdev Ambassador | Building 3xSaaS && https://t.co/RLUYGTOqa8,"Built this with @v0! Transform long-form content (Articles on the Internet, PDFs, Long texts) into platform-ready outputs. Drop in your source content or paste any online article, pick the channels, and generate ready-to-post cont",https://x.com/nikhilsbuilds/status/2014158907271463136,,,
49,@hariprasad_bg,https://x.com/hariprasad_bg,Hari Prasad,1174,17,1,,👨🏻‍💻 Software Engineer 🚀 Building SaaS in public 📈 Road to $10k MRR ⚡ Shipping. Learning. Iterating.,How to make $$$ with your product? Your product is good. Your demo video is not. - Flat screen recording. - No depth or motion. - Nobody watching past 3 seconds. ScreenDrift turns that same recording into a 3D product demo. Live t,https://x.com/hariprasad_bg/status/2087843586046075298,,,
50,@internetdialup,https://x.com/internetdialup,🇨🇭Matt Stenquist,964,10,1,figma,"⚔️ AI ML / PDE · Staff DSE coordinating machine learning. Building Memoryfield AI, Founder of LD and Joyhype. Past: Pro Snowboarder. TBI survivor.",Quick demo of the @figma plugin for creating warps and more. If you aint using and creating plugins and tools to accelerate your creativity. What are ya doing? It's 2026 and Figma is now a giant box of lego pieces that you can mol,https://x.com/internetdialup/status/2089511415514104210,,,
