platform,rank,handle,url,followers,est_reach,suggested_fee,cpm,bio,sample_url,wave,contacted,agreed_fee,posted,result
tiktok,11,@mindfulmosaic2.0,https://www.tiktok.com/@mindfulmosaic2.0,5986,311650,75,0.241,https://youtube.com/@mindfulmosaic2.0?si=fMgQ8s1jnSkGGkBC,https://www.tiktok.com/@mindfulmosaic2.0/video/7660206091464215828,,,,,
tiktok,12,@asmrbri04,https://www.tiktok.com/@asmrbri04,10100,800000,200,0.25,✨So glad you are here 🪻Asmr🌸Beauty🌼 lifestyle,https://www.tiktok.com/@asmrbri04/video/7663017626473352478,,,,,
tiktok,13,@3dhealthscience,https://www.tiktok.com/@3dhealthscience,48900,650000,200,0.308,Follow me My Heart Followers 50k Target,https://www.tiktok.com/@3dhealthscience/video/7663103737635867917,,,,,
tiktok,14,@jordankodes,https://www.tiktok.com/@jordankodes,7881,205750,75,0.365,"💻 Professional Software Engineer 📈 Helping devs apply smarter & get hired faster 👇 Tools, resources & projects",https://www.tiktok.com/@jordankodes/video/7662150345858092302,,,,,
tiktok,15,@drc_acorrales,https://www.tiktok.com/@drc_acorrales,8574,196750,75,0.381,turning bold visions into visible results through brain science BOOK LINK BELOW,https://www.tiktok.com/@drc_acorrales/video/7212679612718009606,,,,,
tiktok,16,@howt0brain,https://www.tiktok.com/@howt0brain,4460,190200,75,0.394,Everything in saved videos Please sub https://www.youtube.com/@HOW_T0_BRAIN,https://www.tiktok.com/@howt0brain/video/7471390441930378518,,,,,
tiktok,17,@mischoe71,https://www.tiktok.com/@mischoe71,3447,189650,75,0.395,"Workout, Running, Sports, Relaxing, Eating 😂😂",https://www.tiktok.com/@mischoe71/video/7663746775584460039,,,,,
tiktok,18,@alesbeautythingz2000,https://www.tiktok.com/@alesbeautythingz2000,23900,500000,200,0.4,,https://www.tiktok.com/@alesbeautythingz2000/video/7620665297363553566,,,,,
tiktok,19,@soranyfiltros,https://www.tiktok.com/@soranyfiltros,48800,500000,200,0.4,Amo los filtros 🩷✨💆🏻‍♀️,https://www.tiktok.com/@soranyfiltros/video/7610456757541948694,,,,,
tiktok,20,@funwiththefambam,https://www.tiktok.com/@funwiththefambam,15800,500000,200,0.4,"Aussie fam & friends | Games, chaos, laughs | funwiththefambam@gmail.com",https://www.tiktok.com/@funwiththefambam/video/7575308583752027399,,,,,
tiktok,21,@dadandcloshow_backup,https://www.tiktok.com/@dadandcloshow_backup,210300,1350000,600,0.444,"backup for @DadAndCloShow If you're not following our main, why not? Do it 🫵😂 📤 Business enquiries: jed@offlimitsgroup.com",https://www.tiktok.com/@dadandcloshow_backup/video/7581914292312739094,,,,,
tiktok,22,@glogularity,https://www.tiktok.com/@glogularity,4506,151700,75,0.494,࣪ ۫𓂅 starzee . ⟢ ✭ he﹔him 𝄞݂۫ 𓈒 🇩🇰 ꒰ ᩧ 𓈒 bmf plzz ⁄⁄͈ . ᴗ͈),https://www.tiktok.com/@glogularity/video/7418656818915708193,,,,,
tiktok,23,@dragon63927473,https://www.tiktok.com/@dragon63927473,7575,148050,75,0.507,,https://www.tiktok.com/@dragon63927473/video/7652377162724461846,,,,,
tiktok,24,@maxim.aseev7,https://www.tiktok.com/@maxim.aseev7,14800,375050,200,0.533,"Real ocean, wildlife & extreme nature caught on camera across America - explained.",https://www.tiktok.com/@maxim.aseev7/video/7625225033950022934,,,,,
tiktok,25,@andythropic,https://www.tiktok.com/@andythropic,7682,125350,75,0.598,"cs student, lifestyle, jokes my personal views and advice ✉️ andythropic@gmail.com",https://www.tiktok.com/@andythropic/video/7638783229322939679,,,,,
tiktok,26,@haydenschmitty,https://www.tiktok.com/@haydenschmitty,3805,119650,75,0.627,I teach non-technical vibecoders how to make good apps. DM to work together,https://www.tiktok.com/@haydenschmitty/video/7670720236517100814,,,,,
tiktok,27,@itsme_ange.14,https://www.tiktok.com/@itsme_ange.14,11500,316950,200,0.631,,https://www.tiktok.com/@itsme_ange.14/video/7175884271284915482,,,,,
tiktok,28,@razthetic,https://www.tiktok.com/@razthetic,48500,311550,200,0.642,⋆˚࿔ Phone Tips & Tricks 𝜗𝜚˚⋆ Hacks | Customization | Unboxings ✨ Check out my channel below ↓,https://www.tiktok.com/@razthetic/video/7570030263313435925,,,,,
tiktok,29,@klemfamily,https://www.tiktok.com/@klemfamily,4100000,5650000,4000,0.708,Email: klemfamilybusiness@gmail.com CEO of Money Ball,https://www.tiktok.com/@klemfamily/video/7537111841764379959,,,,,
tiktok,30,@giftyshopshop,https://www.tiktok.com/@giftyshopshop,49700,272900,200,0.733,10k? 🎯,https://www.tiktok.com/@giftyshopshop/video/7458397830051400991,,,,,
tiktok,31,@iad.tech,https://www.tiktok.com/@iad.tech,386000,2400000,1800,0.75,Daily PC Tricks & Tutorials 🔥 📨 business.iad@outlook.com,https://www.tiktok.com/@iad.tech/video/7398189078421802258,,,,,
tiktok,32,@samsungtricks1,https://www.tiktok.com/@samsungtricks1,26900,256950,200,0.778,Phonetips2025@gmail.com,https://www.tiktok.com/@samsungtricks1/video/7528905034663251222,,,,,
tiktok,33,@sydneyhannahgames,https://www.tiktok.com/@sydneyhannahgames,47100,256800,200,0.779,2 girls 1 game👭 ✉️ sydneyhannahgames@gmail.com,https://www.tiktok.com/@sydneyhannahgames/video/7662044001486359822,,,,,
tiktok,34,@healthlens.com,https://www.tiktok.com/@healthlens.com,13100,245400,200,0.815,Viral IQ Tests 🧠 | Brain Teasers & Puzzles 600K+ Monthly Views Highly Engaged Audience Open for Brand Collaborations & Promotions,https://www.tiktok.com/@healthlens.com/video/7590813712001338638,,,,,
tiktok,35,@memorycoach,https://www.tiktok.com/@memorycoach,710000,2150000,1800,0.837,TEDx Speaker 🎤 Learn to remember whatever you want! 🦸Join the memory coach academy below!,https://www.tiktok.com/@memorycoach/video/7120171069192817922,,,,,
tiktok,36,@thesilentreviewer,https://www.tiktok.com/@thesilentreviewer,96400,700000,600,0.857,📍singapore ig: @thesilentreviewerig ✉️ thesilentreviewerteam@gmail.com,https://www.tiktok.com/@thesilentreviewer/video/7530249745705618695,,,,,
tiktok,37,@brainspark_hub,https://www.tiktok.com/@brainspark_hub,6375,81900,75,0.916,99% fail these 🤯 Puzzles • Illusions • Mind tricks 👇 Try one,https://www.tiktok.com/@brainspark_hub/video/7651848934930861313,,,,,
tiktok,38,@theezzshow,https://www.tiktok.com/@theezzshow,915500,1950000,1800,0.923,Fun conversations. Fun Games. 📧 ezz@julyskyproductions.com Download 40 Puzzles ⬇️,https://www.tiktok.com/@theezzshow/video/7384039965434350853,,,,,
tiktok,39,@viralmath1,https://www.tiktok.com/@viralmath1,4836,78100,75,0.96,🧩 Welcome to the Viral Math Page! 🚀 New Viral Puzzles Every Day 🧠 Train Your Mind,https://www.tiktok.com/@viralmath1/video/7674732536479665422,,,,,
tiktok,40,@austinkrance,https://www.tiktok.com/@austinkrance,125600,600000,600,1.0,📩: austinkrance@gmail.com Geography videos: @Austin Krance 🇨🇦🇺🇸,https://www.tiktok.com/@austinkrance/video/7341857482953739563,,,,,
x,1,@StevenCravotta,https://x.com/StevenCravotta,40333,13397383,564,0.042,Building Viral Apps | 2x Exits | Scaled Puff Count📱 $40k MRR | Follow for tips on building & scaling software | Currently scaling Posted,https://x.com/StevenCravotta/status/1945254286767640668,,,,,
x,2,@thebuggeddev,https://x.com/thebuggeddev,11670,1035088,163,0.157,A Human Bugged by Bugs | Software Developer | Design Engineer | Building with AI | Learning Three.js 🥳,https://x.com/thebuggeddev/status/2083884856531177942,,,,,
x,3,@claudeai,https://x.com/claudeai,1720428,24899229,6000,0.241,"Claude is an AI assistant built by @anthropicai to be safe, accurate, and secure. Talk to Claude on https://t.co/ZhTwG8dz3D or download the app.",https://x.com/claudeai/status/2044131493966909862,,,,,
x,4,@cursor_ai,https://x.com/cursor_ai,469378,12612818,6000,0.476,Coding agent for building ambitious software,https://x.com/cursor_ai/status/2089399057659596847,,,,,
x,5,@Muskanjain0401,https://x.com/Muskanjain0401,22236,566163,311,0.549,Marketer learnin to ship like an engineer | GTM @supermemory,https://x.com/Muskanjain0401/status/2089261488104222835,,,,,
x,6,@EvenRealities,https://x.com/EvenRealities,13609,282744,190,0.672,Display smart glasses for your everyday life. Join our Discord: https://t.co/GaTN37lHHa,https://x.com/EvenRealities/status/2048740192241291405,,,,,
x,7,@adamcohenhillel,https://x.com/adamcohenhillel,10523,192418,147,0.764,building new interfaces @interfaces_inc,https://x.com/adamcohenhillel/status/1644836492294905856,,,,,
x,8,@zodchiii,https://x.com/zodchiii,25515,374467,357,0.953,ai & finance entrepreneur • @zscdao member • sharing what I learn,https://x.com/zodchiii/status/2083134599832408208,,,,,
x,9,@kevin_smith45,https://x.com/kevin_smith45,63796,1023154,1071,1.047,Founder of The Loud Majority. | Host of Loud Majority Live @lfatvus,https://x.com/kevin_smith45/status/1867603948158562684,,,,,
x,10,@0xCodez,https://x.com/0xCodez,32798,436467,459,1.052,Content creator | AI researcher & builder | AI insights from 2030 | @zscdao,https://x.com/0xCodez/status/2062464183409545224,,,,,
x,11,@creative_yua,https://x.com/creative_yua,10113,127217,141,1.108,Learner | Freelance Writer | Punstar | English Language Expert | Satiric Mind | Tech-Savvy & Crypto-Loving | Nature and Wildlife Enthusiast | Movie Lo,https://x.com/creative_yua/status/2086030856846467222,,,,,
x,12,@NYTGuildTech,https://x.com/NYTGuildTech,10042,120681,140,1.16,We make the tools that make @nytimes. Part of @nyguild. Now on Insta & Bluesky.,https://x.com/NYTGuildTech/status/1853852374072267176,,,,,
x,13,@paranoidream,https://x.com/paranoidream,12964,153935,181,1.176,✨🔭🌞📚🍯🌹⚡️🧩📸🎶🎬🪩💋🔮🚀🚘🕳️🧠 𝕩 🇺🇸✌️🐕 ⚖️🤖♟️📡 🛰️💫 ... . . -.- . .-. / --- ..-. / .. -. . ..-. ..-. .- -... .-.. . / - .-. ..- - .... ...,https://x.com/paranoidream/status/2087587444988518513,,,,,
x,14,@0xMovez,https://x.com/0xMovez,33560,389017,469,1.206,Content creator | AI researcher & agentic builder | @zscdao,https://x.com/0xMovez/status/2045882367001202836,,,,,
x,15,@thekitze,https://x.com/thekitze,101951,1377213,1712,1.243,https://t.co/2lUVc9D1ZB ⋅ https://t.co/EB5easb3a9 ⋅ https://t.co/BaMlf8oBGj ⋅ https://t.co/llv5eYrRfS ⋅ https://t.co/EpRflP3CGs ⋅ https://t.co/0i9Ne1k,https://x.com/thekitze/status/2037554389817213004,,,,,
x,16,@ArfhisTheWizard,https://x.com/ArfhisTheWizard,15608,164757,218,1.323,Trying to create a game worth remembering https://t.co/ZcH9a3l9kY,https://x.com/ArfhisTheWizard/status/1709541616531226973,,,,,
x,17,@trq212,https://x.com/trq212,330909,3844081,5559,1.446,"Claude Code @anthropicai. prev YC W20, @spc, @medialab",https://x.com/trq212/status/2034761016320696565,,,,,
x,18,@sludgetoons,https://x.com/sludgetoons,15670,137128,219,1.597,erm… check puhlease!…. i draw https://t.co/Cw6o9RRh7y sometimes i will play a game at https://t.co/j4qT3zniDv,https://x.com/sludgetoons/status/1967839656986505396,,,,,
x,19,@0xwhrrari,https://x.com/0xwhrrari,11718,98825,164,1.659,building @kollectivexyz ai | prediction markets | solo setups dm always open... 444,https://x.com/0xwhrrari/status/2088974068070429031,,,,,
x,20,@alanna,https://x.com/alanna,17109,142199,239,1.681,not here much anymore // i write books and make games and knit objects,https://x.com/alanna/status/2048617821614084566,,,,,
x,21,@chongdashu,https://x.com/chongdashu,13951,111748,195,1.745,✝️ Jesus is King Make Games w/ AI ➡️ https://t.co/6zBm9xu4bX Create Game Sprites w/ AI ➡️ https://t.co/28RJo7V7uY,https://x.com/chongdashu/status/2087830410667737574,,,,,
x,22,@Mangalawyer,https://x.com/Mangalawyer,45742,362816,640,1.764,,https://x.com/Mangalawyer/status/1825954651277242844,,,,,
x,23,@chatcutapp,https://x.com/chatcutapp,18219,140099,255,1.82,A full AI video editor on the web and inside Claude Code & ChatGPT desktop. 📬 team@chatcut.io,https://x.com/chatcutapp/status/2087889421421212029,,,,,
x,24,@johanvinet,https://x.com/johanvinet,43452,327286,608,1.858,"Game Dev, founder @CanariGames 🏝 CASTAWAY || https://t.co/HrZsy0hpbh 🌙LUNARK || https://t.co/pKBJgyDd8R 🦋https://t.co/3S0kVbZCgI",https://x.com/johanvinet/status/1775560544298160576,,,,,
x,25,@mikenevermiss,https://x.com/mikenevermiss,20911,127419,292,2.292,early to everything that matters. partner @ourbit,https://x.com/mikenevermiss/status/2086716435674349991,,,,,
x,26,@nateparrott,https://x.com/nateparrott,55614,392972,934,2.377,"design @ @anthropicai, previously @browsercompany libposting until further notice",https://x.com/nateparrott/status/2089470636796059754,,,,,
x,27,@aibytekat,https://x.com/aibytekat,35804,207154,501,2.418,Turning AI ideas into real systems while figuring out what really works. DM or katyayani.ht@gmail.com,https://x.com/aibytekat/status/2023738886846038428,,,,,
x,28,@LeoCreaIA,https://x.com/LeoCreaIA,48267,271611,675,2.485,25 | $100K Rev. building systems and businesses with AI | @aiscwork,https://x.com/LeoCreaIA/status/2087974928268095910,,,,,
x,29,@Friedemann_A,https://x.com/Friedemann_A,16636,88485,232,2.622,"Game Designer. Superflight, Islanders, Pizza Possum, Summerhouse. Currently making SLOTS & DAGGERS 🎰🖤🗡️ https://t.co/2jVeiUGM7O",https://x.com/Friedemann_A/status/1790014110131736592,,,,,
x,30,@PixelCNinja,https://x.com/PixelCNinja,13636,69328,190,2.741,Daily Retro & FPGA Gaming focused videos on X and YouTube. https://t.co/C1EqVa6ABT Business: pixelcherryninja(@)https://t.co/b8nvkMQWlM,https://x.com/PixelCNinja/status/2037682256408371323,,,,,
x,31,@pumpspotlight,https://x.com/pumpspotlight,24245,120453,339,2.814,Accelerating Builders on @Pumpfun,https://x.com/pumpspotlight/status/2070590353103618521,,,,,
x,32,@Rixhabh__,https://x.com/Rixhabh__,109866,616527,1845,2.993,Breaking down AI & tech | Influencer marketing | Worked with 400+ AI brands worldwide | DM for collaboration | imrixhabh@gmail.com 📤,https://x.com/Rixhabh__/status/2046841837319815548,,,,,
x,33,@Mind_Pulse_X,https://x.com/Mind_Pulse_X,21844,90487,305,3.371,Questions. Opinions. Debates. Culture. Nostalgia. Where Curiosity Starts Conversations. ✦,https://x.com/Mind_Pulse_X/status/2088022871230836973,,,,,
x,34,@sairahul1,https://x.com/sairahul1,134501,601859,2259,3.753,"Building with AI. Sharing what's wild, what's practical, and what's next.",https://x.com/sairahul1/status/2064279904989147577,,,,,
x,35,@martinvars,https://x.com/martinvars,210033,937250,3528,3.764,"5 time unicorn founder. Devoted to solving the world’s fertility crisis. Father of 7, husband of @ninavars, la mejor!",https://x.com/martinvars/status/1728404810527805600,,,,,
x,36,@shadowcanman,https://x.com/shadowcanman,27593,95041,386,4.061,Leveraging AI to audit Britain. Remigration. Restore Britain. We must scour the Shires. backup @thetraitorfiles,https://x.com/shadowcanman/status/2087283120449991144,,,,,
x,37,@coreyhainesco,https://x.com/coreyhainesco,32757,110506,458,4.145,"(Marketing) Idea Guy • https://t.co/AhTpQV7NGK 43,000+⭐️ • Founder https://t.co/JVrVSo4GI3 • https://t.co/2BX8XddDIp • https://t.co/VWDI7igjke",https://x.com/coreyhainesco/status/2089027423774048326,,,,,
x,38,@levelsio,https://x.com/levelsio,934283,1430070,6000,4.196,💸https://t.co/sQ0aiU7v02 📸https://t.co/lAyoqmSBRX $75K/m 🎮https://t.co/tF49atJ396 $44K/m 🏡https://t.co/1oqUgfD6CZ $25K/m 👙@X $20K/m 🌍https://t.co/UXK5,https://x.com/levelsio/status/2013023626098852014,,,,,
x,39,@flarup,https://x.com/flarup,31669,103344,443,4.287,🇩🇰 Designer ✦ 🕹️ CEO @heynorthplay ✦ 📓 Author of https://t.co/6XdG5eWaM4 ✦ Dad Level 2,https://x.com/flarup/status/2079224621975339417,,,,,
x,40,@om_patel5,https://x.com/om_patel5,26850,80371,375,4.666,🇨🇦 growing https://t.co/Tr6rRuOdX9 ($10k/m) + https://t.co/K8xdwRDHqX building cool stuff,https://x.com/om_patel5/status/2057961172712735095,,,,,
